income_bin,observations
198.75,594
201.25,580
203.75,555
206.25,625
208.75,637
211.25,605
213.75,562
216.25,560
218.75,612
221.25,569
223.75,578
226.25,596
228.75,541
231.25,543
233.75,551
236.25,587
238.75,575
241.25,545
243.75,586
246.25,573
248.75,551
251.25,548
253.75,565
256.25,536
258.75,577
261.25,544
263.75,553
266.25,570
268.75,556
271.25,573
273.75,530
276.25,528
278.75,565
281.25,610
283.75,591
286.25,630
288.75,716
291.25,746
293.75,940
296.25,1148
298.75,1498
301.25,412
303.75,421
306.25,394
308.75,418
311.25,469
313.75,471
316.25,469
318.75,514
321.25,499
323.75,506
326.25,525
328.75,526
331.25,476
333.75,514
336.25,515
338.75,523
341.25,517
343.75,503
346.25,497
348.75,488
351.25,484
353.75,455
356.25,513
358.75,515
361.25,502
363.75,499
366.25,427
368.75,460
371.25,440
373.75,511
376.25,486
378.75,447
381.25,469
383.75,448
386.25,475
388.75,470
391.25,471
393.75,434
396.25,431
398.75,449
401.25,448
403.75,439
406.25,437
408.75,411
411.25,455
413.75,413
416.25,482
418.75,445
421.25,424
423.75,474
426.25,448
428.75,448
431.25,426
433.75,389
436.25,420
438.75,402
441.25,396
443.75,398
446.25,398
448.75,391
451.25,434
453.75,431
456.25,401
458.75,392
461.25,418
463.75,368
466.25,435
468.75,369
471.25,381
473.75,431
476.25,376
478.75,354
481.25,360
483.75,358
486.25,341
488.75,346
491.25,389
493.75,338
496.25,363
498.75,383
501.25,392
